X,logFC,AveExpr,t,P.Value,adj.P.Val,B
NPTN,-0.699310199,7.301920822,-2.719622698,0.012209582,0.14009363,-3.206615498
H3-3A,0.543549171,14.76796603,2.719506653,0.012212807,0.14009363,-3.206856951
FIBIN,-1.080718892,5.765230249,-2.701203065,0.013724846,0.150466859,-3.221046851
COL5A1,-0.815419715,11.15298206,-2.703969979,0.012651942,0.142947092,-3.239137348
FAM114A1,-0.397119764,7.346130756,-2.703641611,0.012661381,0.142947092,-3.239818592
ANXA2,-0.385290196,13.66877593,-2.70222676,0.012702131,0.142947092,-3.242753423
AHCY,-0.384658893,10.23257718,-2.695393572,0.012900684,0.144633709,-3.256916613
SORBS2,-0.650303681,7.80489533,-2.684262579,0.013534292,0.149480972,-3.270779868
GATM,0.79419847,6.500815123,2.654498531,0.017994905,0.171157549,-3.27808122
UBE2V1,-0.407843312,9.374155199,-2.682023182,0.013297679,0.147967803,-3.284576936
SYNPO,-0.680315202,7.31685785,-2.641161535,0.017126843,0.168489568,-3.286235215
TNXB,-1.050667982,9.972887053,-2.679249864,0.013381452,0.148344384,-3.290305544
THUMPD3,0.41278114,7.067179916,2.663872239,0.014166184,0.15416752,-3.312390326
ERP44,-0.584647834,7.573626185,-2.658687075,0.014018266,0.153118634,-3.332685607
A0A3Q2I1J3,-0.534220369,5.675868535,-2.623071855,0.017782336,0.171006136,-3.343402829
NRAS,-0.546128173,8.81879406,-2.652040931,0.014230113,0.154298055,-3.346347392
DNM1,-0.416863301,7.353339328,-2.649929974,0.014298028,0.154323695,-3.350682961
NPW,1.094697099,7.466854513,2.61516267,0.017507655,0.169984457,-3.35949988
GMFB,-0.610321729,6.863627641,-2.64398433,0.014490954,0.154488152,-3.362884741
PRPF38B,-0.392721498,8.43938986,-2.643476854,0.014507533,0.154488152,-3.363925534
EHD1,-0.393080379,7.569089768,-2.643473636,0.014507639,0.154488152,-3.363932133
