"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BLOC1S1",-0.0536873135565258,6.64612493823696,-0.0630296075638216,0.950872631196808,0.989287154719263,-5.32400666942716
"JUNB",0.0218407574206633,6.56020912335365,0.0287076575907421,0.977611492535993,0.993402824894243,-5.32532522319407
"UBTF",0.401105705669857,7.32004055704713,0.875951096806159,0.391450718813784,0.852057774193103,-5.32579481871341
"RASSF4",0.277928787638259,6.35769317554395,0.637459555753768,0.534105045609883,0.892280304038195,-5.3258086932861
"CRYZ",-0.365745659363054,10.7160544038228,-0.925016228294189,0.365460721652168,0.840220747229675,-5.32594117345377
"BCL2L13",0.167533178289919,5.02180249738498,0.145786356859475,0.886508256824998,0.976456797587781,-5.32614421192702
"EPB41",0.334556332735623,5.77495981826541,0.590379623130596,0.565050534721883,0.897504186224026,-5.32664091741311
"SRRM2",-0.351964395245555,5.91454291466894,-0.89377620174911,0.382065759287508,0.847024354662101,-5.3269029921596
"TAX1BP3",-0.214692131920492,6.87356163182232,-0.304892238982983,0.765270851219309,0.950178377715034,-5.32914545103001
"RABGGTB",0.710340518899815,5.5661678724247,0.632375978707689,0.536655671943235,0.892280304038195,-5.3292059638711
"RTN1",0.0816400812605395,5.79103564592229,0.111314314018359,0.913205730323617,0.981455854571736,-5.329845254168
"FZD7",0.5822337638468,7.00692867758647,0.701430311174794,0.493766843772085,0.881346228678985,-5.33033343505838
"CA5B",-0.172573801104232,6.4026379024378,-0.326299526802386,0.749387021641583,0.948684187764363,-5.33040446697433
"OGDH",-0.30138950637884,6.63465419085015,-0.840248426642102,0.41121283947023,0.854934279656272,-5.33088963700353
"S100A13",-0.327090477908482,11.6041509790753,-0.918127348322377,0.368972491050238,0.844021380446105,-5.33163242986558
"FTH1",-0.501737384247032,11.3973393387487,-0.916642282723082,0.369732479249487,0.844021380446105,-5.33285422266799
"CAND1",0.266656351541724,8.57249134748201,0.916581696460984,0.369763506649882,0.844021380446105,-5.33290402977765
"RPS8",0.422025323883001,12.8638495562319,0.916400736534965,0.369856190073299,0.844021380446105,-5.3330527764459
"RBM14",-0.30413289399264,7.04887787016775,-0.916234160255616,0.369941520217418,0.844021380446105,-5.33318967619992
"PFDN4",-0.311766645515872,8.38195714852902,-0.885440291085656,0.386436017273272,0.849702255275673,-5.33352770664207
"MTMR9",-0.446729174848051,3.97559964284554,-0.576747274028947,0.573954090920211,0.900874203515297,-5.33353590901232
"COASY",0.416433058221771,6.83472493078419,0.806885374429998,0.430259764922779,0.854934279656272,-5.33424853650752
"GFER",0.184483778651716,5.9974448927314,0.130658985859208,0.898208070592576,0.978275511617431,-5.33425830313498
"CLK2",0.369539477675265,7.3312426547984,0.758192485710107,0.458712302468875,0.864123679186021,-5.33552768682354
"ECMX",-0.37994304062109,6.64864856533252,-0.804596777392063,0.431545938890055,0.854934279656272,-5.33588187414959
"ADAP2",0.301106421456571,5.88844519309581,0.473834975042727,0.644114901495099,0.926168115972895,-5.33642661502571
"GDF5",-0.611922693534437,6.04284595966777,-0.710741910388318,0.486875867283867,0.877941407837225,-5.33682305307376
"RAP2B",-0.348647080684734,7.19256552189051,-0.879699841847039,0.389464578918576,0.852057774193103,-5.33805669454619
"TMX1",-0.356227484197233,7.36684353853898,-0.690278341654987,0.499330015812358,0.886299247240313,-5.33824998464072
"H2AZ2",0.727147938424199,11.3124103450556,0.889133920224958,0.384495524117526,0.849485434844442,-5.33844413345785
"DHFR",-0.0569954258175382,6.82469424354227,-0.0804724922840676,0.937086179984201,0.98789205721226,-5.33871797309783
"TNN",0.795164642725646,7.01740508445194,0.908750195329294,0.373788779603507,0.847024354662101,-5.33931682559216
"ABI3BP",0.515096925335845,7.79182664334183,0.908731730946302,0.373798304268853,0.847024354662101,-5.33933188554173
"ACSF2",-0.515217991851733,6.37415764305101,-0.685963077856985,0.503194767698883,0.886299247240313,-5.3397342681322
"AP2S1",-0.34420960862958,7.9011642511173,-0.907095973737647,0.374642732332184,0.847024354662101,-5.34066493187205
"CUTA",-0.581086700233629,7.33610060007579,-0.855503363827824,0.40240039419876,0.852057774193103,-5.34157437186875
"ZBTB20",0.488940315608117,4.39280738951791,0.728069003512681,0.477085547436352,0.877520939710981,-5.34265077904363
"RPL7A",0.398210266687804,12.0249064126014,0.902515814388154,0.377013875347038,0.847024354662101,-5.34438578066971
"MSN",0.255316149015705,9.73607752845712,0.901062826254839,0.377768155420986,0.847024354662101,-5.34556255607132
"ACTC1",0.872745225450572,6.9090783155545,0.869639165812277,0.394809795068355,0.852057774193103,-5.34592897337361
"ZFYVE21",-0.301309979921017,6.87364043434917,-0.899561190733562,0.378548736800363,0.847024354662101,-5.34677690302256
"ZRANB2",-0.259615190746394,5.60774646784498,-0.673343585479769,0.510963977617719,0.88918329749062,-5.34725980280599
"EEA1",-0.369605947087372,6.2281871890099,-0.836664996777779,0.413175039707199,0.854934279656272,-5.34791362217528
"TUBA4A",-0.265296592531322,10.1127356116746,-0.897112371017286,0.37982396729131,0.847024354662101,-5.34875323384524
"IMP3",0.320944188440481,5.80762852524656,0.689294307467864,0.50115541922197,0.886299247240313,-5.34886084517131
"GOLM1",-0.364194851640527,6.46878850024414,-0.845863414544007,0.407630494656978,0.854934279656272,-5.34889448678027
"C2",0.794389909971602,8.33376103898039,0.896357269162111,0.380217759776773,0.847024354662101,-5.34936164443122
"PPP1CC",0.370671108558692,6.08861321947736,0.494706937313584,0.62847420572877,0.919680650291731,-5.34975476553549
"TAPBPL",0.0713207563568631,5.75874007190461,0.0556231190878159,0.956487172267308,0.990769366551768,-5.34996277321722
"METAP2",-0.353844922324682,6.90600965281035,-0.895269943870485,0.380785282413328,0.847024354662101,-5.35023691194204
"ARHGEF1",-0.3247736306218,8.7296312342435,-0.863724429819633,0.397974470801074,0.852057774193103,-5.3505183018679
"RWDD1",0.0191921731881393,7.03208310292597,0.0308247947084933,0.975877117846166,0.993402824894243,-5.35086246305159
"PFDN1",-0.437989142755614,7.99397341615039,-0.894450073799603,0.381213577312084,0.847024354662101,-5.35089623994291
"RPL23",0.397201986082897,10.0882560703342,0.894267071974182,0.381309219586521,0.847024354662101,-5.35104333169013
"L3HYPDH",0.468389467441609,6.97894449976009,0.894027118949695,0.381434650211875,0.847024354662101,-5.35123615732277
"NCLN",-0.00241763362245991,6.6296078750799,-0.00400815533395977,0.996862770073861,0.998700116505435,-5.35125454175663
"SMCHD1",-0.363306403645085,5.77727047958166,-0.841105894069736,0.410744198388714,0.854934279656272,-5.35199775445019
"GAR1",-0.430228106833459,7.68460702227442,-0.892781363544454,0.382086280321526,0.847024354662101,-5.35223647901263
"HPCAL1",0.610614712231961,6.6893175592433,0.731915556787579,0.474184185082895,0.876677692917574,-5.35279968540402
"CTCF",-0.612428368794059,6.98489075523419,-0.891440861454979,0.382788288054488,0.847948739361208,-5.35331144903436
"A0A3Q2HAH3",-0.085514515070665,6.35374584260724,-0.101858802645451,0.920549560763022,0.981455854571736,-5.35359960485208
"SF3B1",-0.325333537752682,7.3853919948355,-0.859104555123942,0.400457745600853,0.852057774193103,-5.35408288674241
"CCL16",-0.756649953700505,12.0216715695243,-0.858727330844939,0.400660952927226,0.852057774193103,-5.35437316689419
"AHSA1",0.343073506282605,10.1511251534045,0.7781869143425,0.44656234286222,0.861900551071283,-5.35442008830377
"RNASE6",0.631179974313113,6.02174044258505,0.5327282328871,0.60320224598113,0.910004888732707,-5.35476060788137
"TANGO2",0.321608895125665,6.70738388361079,0.827118539990324,0.41843162872832,0.854934279656272,-5.3550028839946
"GEMIN5",0.238954892061673,7.5694875409305,0.580595768533464,0.570734390279041,0.899722058887417,-5.35596834541904
"MYO1F",0.398710112163046,7.070964398304,0.756309869702706,0.45924274433003,0.864123679186021,-5.35615688194266
"PPA1",-0.351161813360215,7.45251317130142,-0.775256866868341,0.448248029275198,0.861900551071283,-5.35644152920111
"DNPH1",0.413804181696342,7.10833781270545,0.774857658716028,0.448478001028015,0.861900551071283,-5.35671639595823
"GMPPB",0.303137766931472,9.54131991090327,0.88667586237639,0.385290528876314,0.849485434844442,-5.35712055495158
"CUL2",-0.297293138241118,6.06152986843473,-0.704536402292632,0.491221040212901,0.87989155093154,-5.35751944093196
"DDX39A",-0.351102341944893,6.41019770830323,-0.823344897959685,0.420521201604715,0.854934279656272,-5.35778452986378
"MARK2",0.269074761536382,5.9061374865293,0.60724515981665,0.552764126446348,0.896868248332833,-5.35778554739991
"UBE2R2",0.00803769748098617,6.82541454542621,0.0155834824335083,0.987786426111769,0.996495292533914,-5.35789301764717
"RANBP3",-0.00756699195681296,6.27493421095183,-0.0131922388121253,0.989660439262056,0.996605250909104,-5.35792186205898
"PUM2",0.2464295118588,5.62518260353769,0.356876777015304,0.727929605350687,0.946264662245577,-5.3579267210651
"UBA5",0.242763464858638,7.17285019211907,0.885419495817629,0.385952066421669,0.849485434844442,-5.35812175682608
"WNT11",0.438865759489836,6.9279710423629,0.885230078641106,0.386051868204936,0.849485434844442,-5.3582725905632
"PIP5K1A",-0.335195949677212,6.31585760086546,-0.552973175094777,0.588996887160266,0.906536935904451,-5.35988474921891
"ITGA1",-0.250249943738497,6.47636935725366,-0.670844971132932,0.511881790561662,0.88918329749062,-5.36049249014789
"FARSB",0.296417165227208,8.36954258523957,0.882193406422936,0.38765416388045,0.851327366340097,-5.36068665072531
"SRM",-0.303748968411972,9.56512901315848,-0.882016916019918,0.387747422316246,0.851327366340097,-5.36082672029042
"OCIAD1",0.704098868406029,5.75914839603675,0.850010093670876,0.40537541077867,0.853741505422795,-5.36104849654765
"PRPF6",-0.244510588396022,6.74631441757346,-0.849517985444748,0.405642613111789,0.853741505422795,-5.36142346194537
"IRF3",-0.385091843106302,5.47239421163434,-0.746580534256002,0.46551112482925,0.869055194185284,-5.36211316214677
"POLR2G",0.332420603625208,5.64493118557352,0.598560156219492,0.558391359283787,0.897267051376712,-5.36236570565912
"HK1",-0.308557663481646,8.4791886490621,-0.879800452472,0.388919861571893,0.852057774193103,-5.36258359352562
